
2023/11/20 (10:19:27) | ===> btop++ v.1.2.13
2023/11/20 (10:19:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/07 (13:06:24) | ===> btop++ v.1.2.13
2023/12/07 (13:06:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/08 (13:12:31) | ===> btop++ v.1.2.13
2023/12/08 (13:12:31) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/13 (11:30:35) | ===> btop++ v.1.2.13
2023/12/13 (11:30:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/02 (14:13:58) | ===> btop++ v.1.2.13
2024/01/02 (14:13:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/02 (14:18:39) | ===> btop++ v.1.2.13
2024/01/02 (14:18:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/10 (10:01:08) | ===> btop++ v.1.2.13
2024/01/10 (10:01:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/25 (10:59:54) | ===> btop++ v.1.2.13
2024/01/25 (10:59:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/25 (11:00:15) | ===> btop++ v.1.2.13
2024/01/25 (11:00:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/25 (11:00:31) | ===> btop++ v.1.2.13
2024/01/25 (11:00:31) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/30 (11:30:26) | ===> btop++ v.1.2.13
2024/01/30 (11:30:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/30 (11:48:01) | ===> btop++ v.1.2.13
2024/01/30 (11:48:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (12:27:11) | ===> btop++ v.1.2.13
2024/02/02 (12:27:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (13:13:37) | ===> btop++ v.1.2.13
2024/02/02 (13:13:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (13:50:17) | ===> btop++ v.1.2.13
2024/02/02 (13:50:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (15:02:13) | ===> btop++ v.1.2.13
2024/02/02 (15:02:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (15:23:08) | ===> btop++ v.1.2.13
2024/02/02 (15:23:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/04 (12:55:27) | ===> btop++ v.1.2.13
2024/02/04 (12:55:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/05 (11:10:41) | ===> btop++ v.1.2.13
2024/02/05 (11:10:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/05 (12:50:16) | ===> btop++ v.1.2.13
2024/02/05 (12:50:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/05 (13:36:32) | ===> btop++ v.1.2.13
2024/02/05 (13:36:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/07 (10:14:21) | ===> btop++ v.1.2.13
2024/02/07 (10:14:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/07 (14:29:16) | ===> btop++ v.1.2.13
2024/02/07 (14:29:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (13:06:49) | ===> btop++ v.1.2.13
2024/02/16 (13:06:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/19 (11:05:47) | ===> btop++ v.1.2.13
2024/02/19 (11:05:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/21 (13:57:10) | ===> btop++ v.1.2.13
2024/02/21 (13:57:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/27 (15:55:27) | ===> btop++ v.1.2.13
2024/02/27 (15:55:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/12 (12:14:13) | ===> btop++ v.1.3.2
2024/03/12 (12:14:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (10:06:59) | ===> btop++ v.1.3.2
2024/03/15 (10:06:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (11:20:59) | ===> btop++ v.1.3.2
2024/03/15 (11:20:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (11:21:04) | ===> btop++ v.1.3.2
2024/03/15 (11:21:04) | WARNING: Failed to set locale UTF-8 continuing anyway.
